description,courseNumber,departmentCode,courseTitle,avg_gpa,A_rate,B_rate,C_rate,D_rate,F_rate,W_rate,total_enrollment
"Provides an introduction to the field of social welfare, primarily in the United States and major social movements. Examines the history of the social welfare system and social work profession, in the context of societal factors with particular attention to the intersectionality of race, class and gender. Explores the impact of values and beliefs on the development of the modern U.S. social welfare system. Investigates the dynamics of privilege and oppression as part of the political, economic and social factors that influence the policies and services provided by social work practitioners.",306,SOWK,"Social Welfare History and Contemporary Issues",3.32,53.00,31.00,9.00,2.00,4.00,4.00,972
"Develop basic interviewing skills for assessing, goal setting and intervention for use in home service and social work settings. Emphasizes skill application with diverse populations.",310,SOWK,"Basic Interviewing: Skills and Techniques",3.34,53.00,35.00,8.00,1.00,4.00,3.00,1015
"Study of an author, period, movement, genre or theme. Topic varies semester to semester.",300,SPAN,"Topics in Spanish",3.66,73.00,19.00,6.00,0.00,1.00,3.00,137
"Concentrates on the physical design and implementation of databases. Query algorithms and efficiency optimization are explored. Design, implement and document large database systems.",386,COSC,"Database Design and Implementation",3.06,38.00,33.00,24.00,2.00,2.00,4.00,321
"Introduces the teaching of language acquisition and literacy processes for education candidates. Includes language development, word recognition, vocabulary and comprehension through the integrated language arts of reading, writing, speaking, listening, visualizing and visually representing. Includes clinical experiences.",302,ELED,"Integrated Reading and Language Arts Grades K-3",3.84,88.00,9.00,2.00,1.00,1.00,2.00,898
"Examines concepts, principles, theories and research related to the teaching and learning of children in grades Pre-K-6. Focuses on research as it relates to learning theories, cognitive processes, motivation and learner differences. Explores formative and summative assessment strategies to support, verify and document student learning and improve teacher performance. Includes clinical experiences.",305,ELED,"Learning and Assessment for Diverse Classrooms",3.42,53.00,40.00,5.00,1.00,2.00,2.00,677
"Reviews theories and aspects of cultural competence most relevant to teaching in diverse classrooms. Explores the ideals of freedom, democracy, justice, equality, equity and human dignity from the perspective of the family. Provides experiences that heighten candidates' diversity awareness and sensitivity. Examines different beliefs, attitudes, values and practices that foster cultural and linguistic competence at the family level. The instructor may use different medium to study the topic.",398,ELED,"Diversity and the Family",3.91,93.00,6.00,1.00,0.00,1.00,1.00,751
"A study of the major comedies and histories with an emphasis on the tragedies.",413,ENGL,Shakespeare,2.49,17.00,29.00,25.00,7.00,8.00,17.00,280
"Introduction to the ideas and tools economists use to understand human behavior that is constrained by scarce resources with applications to environmental policy. Analytic tools, including demand and supply analysis, will be used to introduce students to policies to address externalities, including the use of taxes, subsidies and marketable pollution permits.",210,ENVR,"Principles of Environmental Economics",2.43,16.00,29.00,31.00,10.00,6.00,10.00,531
"Beginning spoken and written French with emphasis on the sound system and the basic structures of the language.",101,FREN,"Elementary French I",3.13,44.00,28.00,13.00,3.00,5.00,10.00,551
"A non-technical introduction to weather and its interconnectedness with humans and the built environment. Topics include hurricanes, thunderstorms, tornadoes, anthropogenic climate change, urban effects on the atmosphere and weather's impact on everyday life (e.g. sports, environmental hazards).",107,GEOG,"Weather, Hazards and Climate Change",3.00,40.00,32.00,17.00,7.00,4.00,4.00,592
"Introduces students to fundamental aspects of the social sci ences through a study of a particular issue chosen from a range of disciplines.",112,HONR,"Issues in the Social Sciences",3.79,83.00,15.00,3.00,0.00,1.00,1.00,347
"Study of the methods and techniques for conducting a systems project that solve business problems with information technology. Plan, analyze, design and implement a business system as a member of a project team. Computer-based systems analysis and design tool is available for use in the lab.",311,INFO,"Business Systems Analysis",3.37,48.00,41.00,8.00,2.00,1.00,3.00,695
"Introduction to basic techniques and modes of reasoning for discrete problem solving. Set theory, recurrence relations, counting, graphs and lattice number theory.",210,MATH,"Introduction to Discrete Mathematics",2.59,25.00,27.00,23.00,10.00,8.00,10.00,1390
"Critical analysis of the decisions made by student interns in K-12 schools. Emphasis upon identifying possible solutions for problems interns face during K-12 student internship.",481,PHED,"Seminar in Physical Education",3.73,78.00,19.00,4.00,0.00,1.00,0.00,195
"Continuation of introductory physics. Topics include: electrostatics, current and resistance, DC and AC circuit analysis, magnetic fields, induction, electromagnetic waves and geometrical and wave optics.",223,PHYS,"Physics II",2.69,22.00,41.00,24.00,6.00,6.00,5.00,342
"Exploration of attitudes and behaviors related to death. Topics include the dying patient, suicide, bereavement, ethical issues, the funeral, etc. Emphasis on developing an understanding of self and death.",323,PSYC,"Psychology of Death and Dying",3.40,52.00,37.00,9.00,2.00,0.00,2.00,164
"Introduces and sensitizes students to the major concepts of cultural diversity, race, ethnicity, national origin, gender, age, class, sexual orientation, physical and mental abilities, pluralism, and conflicts caused by ethnocentrism, discrimination, and prejudice. Explores the relationship and intersection between these major concepts and social work practices and policies. Emphasizes the examination of major ethnic groups as well as other social groupings based on such factors as gender, religion, national origin, age, sexual orientation, physical and mental abilities, and other differences in human populations. Evaluates the common elements of oppressions and prejudicial and discriminatory practices from both micro and macro theoretical frames of reference. Explores the application of the ecological perspective, generalist, and problem-solving process.",309,SOWK,"Privilege and Oppression",3.76,83.00,13.00,3.00,1.00,2.00,1.00,895
"Prepares students for a generalist approach to social work practice with individuals. Emphasizes knowledge, values, ethics and skills needed to develop effective helping relationships. Includes basic theories for intervention with focus on micro level problem solving and basic interview skills. Three hours per week with enhancement.",320,SOWK,"Social Work Practice I",3.59,69.00,25.00,5.00,2.00,2.00,1.00,884
"Builds upon the foundation content of SOWK 306, providing understanding of social welfare policy analysis with micro, mezzo and macro social work policy practice knowledge skills. Prepares students to participate in the policy-making process, integrating both policy analytical and formulation skills, as well as understanding the methods and strategies for advocating for policy change and new policies.",330,SOWK,"Social Welfare Policy Practice: Analyst and Advocate",3.66,73.00,23.00,3.00,1.00,1.00,1.00,722
"Introduction to the principles of lithographic printing through the study of historical elements and practical processes. Various monochromatic lithographic printing techniques explored. Students furnish their own materials.",350,ART,"Printmaking: Lithography",3.53,60.00,32.00,3.00,3.00,0.00,3.00,35
"Intensive study in speech or communication studies. Students should choose a seminar in their track. Substantial research paper/academic project and class presentation are required.",490,CMAT,"Communication Seminar",3.45,57.00,33.00,9.00,1.00,2.00,2.00,497
"Introduces and explores mathematics teaching as it relates to children birth through grade 3. Attention is given to developmentally appropriate instructional strategies that align with state and national standards. Focuses on pedagogical strategies that promote conceptual understandings and the use of materials that are theoretically and developmentally appropriate for the learning of mathematics. Emphasizes research, diversity, assessment, technology, literacy and mathematics integration. Includes clinical experiences.",451,ECED,"Teaching Mathematics in Early Childhood Classrooms",3.68,76.00,19.00,5.00,2.00,1.00,1.00,246
"Introduces dimensions of science instruction that facilitate student learning in elementary schools. Attention is given to the skills necessary for placing learners in the position of investigator, planning and teaching inquiry-based lessons, and conducting formative and summative assessment. Emphasis is on aligning to state and national science education standards and initiatives, such as STEM education and environmental literacy. Includes clinical experiences.",403,ELED,"Teaching Science in Elementary Classrooms",3.84,87.00,9.00,2.00,1.00,1.00,3.00,516
"Introduces discipline-based inquiry for promoting democratic citizenship through the social studies. Focuses on building content knowledge and instructional strategies in history, geography, political science, cultural studies and economics. Course objectives and activities are based on the College, Career and Civic Life four-stage model of inquiry from the National Council for the Social Studies and align with Maryland state standards for elementary social studies. Includes clinical experiences.",405,ELED,"Teaching Social Studies in Elementary Classrooms",3.87,90.00,7.00,3.00,0.00,1.00,2.00,527
"Emphasizes the teaching of mathematics to students in grades 1-6. Focuses on developmentally appropriate instructional strategies that align to national standards and promote conceptual understandings. Attention is placed on the teaching and learning of mathematics as it relates to research, theory, pedagogy, content, diversity, assessment, technology, literacy and integration. Includes clinical experiences.",406,ELED,"Teaching Mathematics in Elementary Classrooms",3.52,67.00,21.00,9.00,2.00,2.00,2.00,594
"Study of Native American, African-American, U.S., Latina and Asian American women's writing, emphasizing 19th and 20th century issues which influenced their writing.",258,ENGL,"American Women Writers of Color",3.09,47.00,29.00,12.00,1.00,9.00,5.00,142
"Provides an overview of methodologies for the study of the interactions between human societies and the environment. Guides students in the focused preparation of a research paper and formal research presentation.",300,ENVR,"Environmental Studies: Methods and Analysis",2.95,30.00,38.00,21.00,2.00,4.00,8.00,622
"Examination of strength training techniques and program design. Emphasis placed on proper form and utilization of various workout designs to complement larger training goals. Gain experience in the theoretical and practical aspects of designing individual workout sessions, periodization and programming to enhance progression.",250,EXSC,"Strength Training Techniques and Program Design",3.40,55.00,33.00,10.00,1.00,2.00,2.00,1241
"Introduces the principles of selling in a business-to-business environment. Covers topics such as customer analysis, prospecting, effective sales approach and opening, adaptive presentations, handling objections, techniques for closing sales, and relationship building. Deals with the ethical, legal and social responsibilities of salespersons. Uses sales exercises, individual presentations and simulated role plays to teach various components of the selling process.",337,MKTG,"Professional Selling",2.91,22.00,49.00,23.00,2.00,2.00,5.00,1338
"Provides an introduction to the field of public policy analysis within the context of American government and politics. Basic concepts and explanations related to the policy making structures and processes within the federal government of the U.S. are explored, including the Congress, the presidency, the bureaucracy and the federal courts. The role played by interest groups, classes, social movements and the media are reviewed and evaluated.",103,POSC,"Introduction to American Public Policy",2.56,27.00,25.00,26.00,8.00,9.00,9.00,448
"Examines the recent history, contemporary context and current impact of a number of key issues in the American political system. Topics covered include elections, partisanship and polarization, the role of traditional and social media, race relations, poverty and inequality, gender, terrorism, and America's role in the world.",112,POSC,"Contemporary Issues",3.13,46.00,31.00,14.00,3.00,5.00,4.00,123
"Study of physical, emotional and social development of the adolescent.",321,PSYC,"Psychology of Adolescence",3.47,59.00,31.00,11.00,1.00,1.00,0.00,365
"Comprehensive study of aging-the final developmental period in the lifespan. Topics covered include research methodology, physical aging, cognitive aging, life span developmental issues, relationships, well being and mental health.",322,PSYC,"Psychology of Aging",3.38,55.00,32.00,9.00,2.00,3.00,2.00,243
"A study of the psychological impact of major cultural groups on the behavior, attitudes, thoughts and beliefs of individuals.",410,PSYC,"Multicultural Issues",3.18,42.00,40.00,15.00,2.00,3.00,2.00,341
"Supervised experience in a social welfare agency with emphasis on methods and techniques of generalist social work practice. Opportunity to apply theory and develop skills in delivery of social services. Successful completion of the two-course sequence requires a student to fulfill a minimum of 440 hours of field instruction within the same social welfare agency accumulated across the fall and spring semesters.",420,SOWK,"Field Instruction in Social Work I",3.73,78.00,18.00,2.00,1.00,2.00,2.00,703
"Enables advanced students to pursue individualized work through field study or other projects of their own choosing, under the direction of a faculty member. Students may use the resources available at the Center for Conflict Resolution to become involved in on-going projects.",490,CADR,"Individual Directed Study",3.95,98.00,0.00,3.00,0.00,0.00,0.00,114
"Theory, history, structure and functions of mass media (print, film, recording, radio, television, new media), advertising, journalism and public relations.",102,CMAT,"Introduction to Mass Media",2.97,35.00,38.00,21.00,4.00,4.00,2.00,1226
"Covers the basic skills and techniques required for audio production in media. Emphasis is on the aesthetics, principles and practices in producing and designing audio programs for media.",234,CMAT,"Beginning Audio Production",3.48,67.00,20.00,10.00,1.00,3.00,1.00,207
"Introduces the teaching of language and literacy processes for grades 3-6. Designed for elementary teacher education candidates. Covers content related to continued development of language and vocabulary, and comprehension though the integrated language arts of reading, writing, speaking, listening, visualizing and visually representing. Apply knowledge of reading and writing strategies, as well as oral language development, to design and implement lessons and teaching activities. Analyze and respond to classroom situations considering different aspects of diversity and how it is framed within the schooling system. Includes clinical experiences.",330,ELED,"Integrated Reading and Language Arts Grades 3-6",3.87,89.00,9.00,2.00,0.00,1.00,1.00,560
"Reviews theories and aspects of cultural competence most relevant to teaching in diverse classrooms. Explores the ideals of freedom, democracy, justice, equality, equity and human dignity from the perspective of the community. Provides experiences that heighten candidates' diversity awareness and sensitivity. Examines different kinds of beliefs, attitudes, values and practices that foster cultural and linguistic competence at the Community level. The instructor may use different medium to study the topic.",499,ELED,"Diversity and the Community",3.88,90.00,8.00,2.00,1.00,1.00,2.00,747
"The literature of the Bible: various forms, stylistic features and relation to culture. Emphasis on the Old Testament, King James version.",341,ENGL,"The Bible as Literature",3.02,35.00,35.00,14.00,6.00,3.00,9.00,72
"Study of major African-American literature from the Harlem Renaissance to present. May include such writers as Hughes, Hurston, Wright, Ellison, Petry, Madhubuti, Sanchez, Morrison, Walker, Wilson, Jones and Trethewey.",383,ENGL,"African-American Literature II",3.27,47.00,40.00,7.00,0.00,5.00,3.00,135
"Interdisciplinary investigation of a topic in the environmental natural sciences.",350,ENVR,"Topics in the Natural Sciences",3.30,48.00,34.00,13.00,2.00,2.00,4.00,539
"Introduction to the nature and character of the Earth's crust and the geological processes that generate and shape landform features. Topics include minerals, rocks, earth structure and plate tectonics, geological processes and associated landforms.",103,GEOL,"Introduction to Physical Geology",2.95,32.00,38.00,23.00,4.00,3.00,3.00,2426
"Designed to set up the framework and faculty support for the thesis. It usually is taken the semester before the students write their thesis. Required for those who wish to complete a thesis.",490,HONR,"Honors Thesis Preparation",0.00,0.00,0.00,0.00,0.00,24.00,77.00,30
"Upper-level interdisciplinary course focused on a seminar topic. Leads to the in-depth integration of the students' work in a broad range of environments in relation to the topic.",435,IDIS,"Interdisciplinary Research Seminar",2.63,24.00,34.00,30.00,1.00,10.00,3.00,405
"Advanced study of varying marketing topics based on students' interests and needs. May substitute for a marketing major elective depending on the topic (see director of undergraduate studies).",338,MKTG,"Special Topics in Marketing",3.26,41.00,46.00,12.00,1.00,1.00,2.00,373
"Introduction to the principles of first aid in wilderness settings, including patient or sub-assessment and care for open wounds, infection, fractures, dislocations and other life-threatening conditions. Study of strategies for providing care in inclement weather and with alternative standard equipment. Special focus is placed upon evacuation techniques as well as best practices for monitoring and documenting patient status. Certification available. Weekend off-campus field experience required. Course fees apply; contact minor coordinator.",201,ODEL,"Wilderness Emergency Care",3.73,78.00,15.00,3.00,1.00,2.00,4.00,594
"Fundamental skills, techniques, knowledge and laws of scuba diving. Emphasis on safety and recreational diving. An introduction to use of mask, fins, snorkel and scuba equipment. Emphasis on personal safety and knowledge of underwater life. Must be able to: swim 200 yards, tread water for 10 minutes or consent of instructor. Swim test is given on the first day of class. Course fee applies.",210,ODEL,"Scuba Diving",3.81,87.00,2.00,1.00,1.00,4.00,8.00,571
"Supervised experience in a social welfare agency with emphasis on methods and techniques of generalist social work practice. Opportunity to apply theory and develop skills in delivery of social services. Successful completion of the two-course sequence requires a student to fulfill a minimum of 440 hours of field instruction within the same social welfare agency accumulated across the fall and spring semesters.",421,SOWK,"Field Instruction in Social Work II",3.84,86.00,12.00,2.00,0.00,1.00,1.00,676
"rganization and internal behavior of microcomputer hardware: digital logic, Boolean algebra, switching networks, design of memories and ALUs, controllers, microprocessor architecture, introduction to machine code and assembly language.",250,COSC,"Microcomputer Organization",2.44,27.00,24.00,22.00,9.00,14.00,6.00,980
"Introduction to beginning jazz dance technique. Focuses on placement, isolations and rhythmicality.",168,DANC,"Jazz Dance",3.69,77.00,14.00,5.00,1.00,2.00,4.00,332
"A general introduction to economic ideas and analysis with emphasis on economic institutions and processes in the context of a market economy. Includes basic discussion of microeconomic and macroeconomic topics including economic decision making in the context of scarce resources, price theory, monetary and fiscal policy, etc. This course is intended for nonbusiness majors.",150,ECON,"Principles of Economics",2.63,22.00,37.00,23.00,8.00,7.00,6.00,1123
"Explores literature of America's ethnic cultures and their historical and literary contexts. May include literature written by Americans of African, Asian, Arab, Latina/o and/or Native American ancestry.",257,ENGL,"Ethnic Literature of the United States",3.28,47.00,39.00,11.00,3.00,1.00,2.00,254
"Examines human metabolism in relation to health and human performance. Analysis of nutrient pathways from ingestion, digestion, absorption and utilization provides the foundation for an understanding of nutrition, weight control, eating disorders and thermoregulatory processes.",317,EXSC,"Nutrition, Health and Human Performance",3.27,44.00,42.00,13.00,2.00,1.00,1.00,605
"Introduction to basic information and skills required to administer care in emergency situations. Students may earn a nationally recognized certification in emergency cardiovascular care (CPR/AED) and first aid. M",102,FTWL,"First Aid and Emergency Care",0.00,0.00,0.00,0.00,0.00,19.00,82.00,32
"Examine the interaction of physical education and sport with the psychology and sociological development of the individual. Better understand society's impact on sport and human movement and develop perspective on the impact psychology has on sports, physical education and human movement.",351,PHED,"Psychosocial Aspects of Physical Education",3.56,64.00,31.00,4.00,0.00,2.00,1.00,410
"Introduction to the causes of interstate conflict in the Middle East and to the opportunities for peace in the region. Examines the impact of Great Power competition, the regional balance of power, the rise of religious fundamentalism and the struggle for control of resources. Includes an analysis of the Arab-Israeli conflict, as well as other examples of conflict and accommodation in the region.",213,POSC,"War and Peace in the Middle East",3.15,50.00,24.00,17.00,3.00,5.00,4.00,114
"Survey of general principles underlying human behavior including study of the nervous system, perception, learning, emotion and personality. Experimental findings are applied to practical situations.",101,PSYC,"General Psychology",3.07,42.00,34.00,16.00,4.00,4.00,2.00,4649
"Provides opportunities for investigating special themes or issues of interest to students and the social work profession.",499,SOWK,"Special Topics",3.39,53.00,36.00,7.00,0.00,3.00,3.00,74
"Development of skills and attitudes for working with chemicals in a confident and responsible way. Emphasis on safety precautions and emergency procedures in case of a chemical accident.",207,CHEM,"Laboratory Safety",3.09,34.00,44.00,11.00,2.00,4.00,7.00,192
"Survey of British literature from the Restoration in 1660 to the present day. Readings may include, but are not limited to, Swift, Pope, Austen, Wordsworth, Keats, the Brownings, Hardy, Yeats, Woolf and Greene. Poetry and fiction included.",357,ENGL,"British Literature II: 1660-Present",3.12,41.00,37.00,11.00,2.00,6.00,6.00,190
"Interdisciplinary seminar with content varying semester to semester.",290,THEA,"Special Topics in Theatre",2.90,40.00,34.00,6.00,4.00,12.00,4.00,50
"Fundamental course in the study of microorganisms and their activity, with emphasis on bacteria.",211,BIOL,Microbiology,2.42,16.00,32.00,29.00,11.00,7.00,9.00,2277
"Blended lecture/lab experience in experimental chemistry. Emphasis on the relationship between synthesis, instrumental methods and thermodynamic principles.",441,CHEM,"Advanced Experimental Chemistry I",3.52,64.00,30.00,6.00,1.00,2.00,0.00,130
"Fundamentals of public relations, including history of the field, theories of persuasion and communication, legal and ethical considerations, and the current state and future of the practice.",248,CMAT,"Introduction to Public Relations",3.13,38.00,37.00,21.00,1.00,2.00,5.00,185
"Introduction to common communication research methods, including: literature reviews, surveys, experiments, content analysis, rhetorical criticism, ethnography, interviews and focus groups. Students learn essential research and writing skills through projects created in areas of interest such as relationships, business, media, or advertising/public relations.",297,CMAT,"Communication Research",2.96,27.00,48.00,19.00,3.00,3.00,2.00,460
"A survey of representative works of science fiction on a persistent theme or theme, such as artificial intelligence, time travel or alien cultures by major authors of the genre.",345,ENGL,"Science Fiction",2.81,26.00,25.00,17.00,6.00,4.00,24.00,134
"Historical study of particular periods; groups; economic, intellectual and/or social movements; and institutions.",215,HIST,"Topics in History",3.02,43.00,25.00,15.00,5.00,6.00,8.00,860
"A basic introduction to interdisciplinary studies aimed at students considering the Interdisciplinary Studies Individually Designed Track. Introduces students to the fundamental tenets and values of an interdisciplinary course of study.",235,IDIS,"Introduction to Interdisciplinary Studies",3.64,85.00,4.00,3.00,1.00,7.00,3.00,273
"Introduces students to the fundamental concepts of the physical sciences. The course will emphasize practical applications, especially those which integrate all of the natural sciences. The course assumes an understanding of college algebra and is for elementary education majors who have not successfully completed CHEM 101.",101,PHYS,"Physical Science",2.64,25.00,31.00,26.00,11.00,5.00,6.00,1246
"Introductory course for non-science majors. Principles of astronomy are developed in a conceptual way. Topics covered include scale of the universe, a guide to the sky, cycles of the sun and moon, atoms and spectra, the sun and stars, structure and evolution of stars, the Milky Way and other galaxies, the solar system, and life on other worlds.",109,PHYS,"Principles of Astronomy",2.79,28.00,34.00,18.00,8.00,5.00,11.00,477
"Focuses on student-developed research projects that utilize the scientific method and the collection and analysis of quantitative data, especially public opinion polls. The use of computers and statistics in political science research emphasized.",300,POSC,"Methods of Empirical Political Analysis",2.94,38.00,32.00,18.00,2.00,8.00,5.00,337
"Practical experience in technical theatre including set construction, scene painting, lighting and sound.",110,THEA,"Technical Production",3.28,60.00,23.00,9.00,4.00,6.00,1.00,217
"Seminar and practicum focused on local environmental issue. Students will analyze the issue by doing background research and interviewing stakeholders. The seminar will culminate with a formal presentation in which students present their analysis and suggestions. Suggestions will be implemented if time and topic permits.",499,ENVR,"Environmental Senior Seminar",3.61,69.00,23.00,7.00,0.00,1.00,1.00,300
"Overview of medical terminology by body system. Principles of decoding words by word elements (prefix, suffix, word root) and standard combining rules.",201,HLSC,"Medical Terminology",3.67,74.00,16.00,6.00,1.00,2.00,5.00,299
"Introduces history and theory of experiential and outdoor education, including a survey of relevant literature and best practices. Includes leadership techniques, the role of risk, humankind's relationship with nature and ethics. Develop a personal philosophy of outdoor education. Required to participate in an off-campus field experience. Course fee applies.",200,ODEL,"Foundations of Outdoor Education Leadership",3.43,59.00,24.00,8.00,3.00,3.00,6.00,285
"Focuses on the structure and function of eukaryotic cells. Topics covered include enzyme kinetics, membrane transport, cell signaling, intercellular protein trafficking, cellular respiration, mitosis and meiosis, the cell cycle, and cancer.",350,BIOL,"Cell Biology",2.79,28.00,37.00,20.00,7.00,6.00,5.00,1050
"Surveys the basic competencies necessary to articulate oneself effectively in a variety of communication settings. Topics include interpersonal and intercultural relationships, formal and informal groups, and public forums with a primary focus on basic presentation skills.",100,COMM,"Fundamentals of Communication",3.20,52.00,28.00,10.00,3.00,7.00,3.00,1207
"Introduction to the basic principles and theories of human communication. Explores contexts such as interpersonal relationships, small groups, organizations, intercultural interaction and public speaking. In each context, practice skills of effective communication while gaining understanding of the relevant theories and research that are foundational to the discipline. Designed for communication arts majors and minors.",101,COMM,"Introduction to Human Communication Studies",3.27,54.00,28.00,10.00,2.00,6.00,4.00,656
"Fundamentals of public relations, including history of the field, theories of persuasion and communication, legal and ethical considerations, and the current state and future of the practice.",248,COMM,"Introduction to Public Relations",3.15,39.00,43.00,10.00,3.00,3.00,4.00,142
"Study of human communication systems in organizations. Students explore one-to-one, small group and one-to-many communication, and develop the skills needed in organizational communication.",260,COMM,"Business and Professional Communication",3.27,54.00,27.00,11.00,3.00,5.00,4.00,794
"Introduction to common communication research methods, including: literature reviews, surveys, experiments, content analysis, rhetorical criticism, ethnography, interviews and focus groups. Students learn essential research and writing skills through projects created in areas of interest such as relationships, business, media, or advertising/public relations.",297,COMM,"Communication Research",3.14,37.00,46.00,13.00,4.00,2.00,2.00,186
"Continuation of the study of the design, implementation and testing of programs. Further study of object-oriented programming. Introduction of graph algorithms. Emphasis is on analysis of algorithms and abstraction.",320,COSC,"Advanced Data Structures and Algorithm Analysis",2.57,23.00,28.00,27.00,8.00,8.00,8.00,680
"Introduces different modes of disciplinary inquiry compatible with social studies instruction. Teacher candidates develop skills in understanding, planning, delivering and assessing instruction with a focus on sociocultural development and classroom management. Course objectives and activities are based on the College, Career and Civic Life four-stage model of inquiry from the National Council for the Social Studies and align with Maryland state standards for early childhood social studies. Includes clinical experiences.",453,ECED,"Teaching Social Studies in Early Childhood Classrooms",3.82,83.00,17.00,2.00,0.00,0.00,1.00,191
"Vectors, Euclidean space geometry including curves and arc length, functions of several variables, partial differentiation, multiple integrals including surface area, vector calculus, and/or other related topics.",310,MATH,"Calculus III",2.81,31.00,34.00,19.00,6.00,7.00,7.00,662
"Modern abstract analysis including topology of the real number system, sequences, continuity, differentiability and integration.",451,MATH,"Analysis I",2.59,25.00,26.00,20.00,13.00,6.00,13.00,236
"Develops abilities to reason effectively analyze problems, identify issues, critically evaluate evidence, argue logically, and reach and defend justifiable conclusions.",103,PHIL,"Critical Thinking",2.05,14.00,25.00,29.00,14.00,16.00,4.00,503
"Introduction to calculus-based Newtonian mechanics for students majoring in physics, engineering and chemistry. Topics include: kinematics, Newton's laws, conservation laws and rotational motion.",221,PHYS,"Physics I",2.66,28.00,29.00,19.00,6.00,9.00,11.00,550
"Survey of the characteristics of and theories explaining the physical, intellectual, social and emotional development of individuals throughout the life span.",200,PSYC,"Developmental Psychology",3.38,56.00,31.00,10.00,2.00,2.00,2.00,755
"In-depth study of the implications of and issues surrounding the physical, intellectual, social and emotional development of children from conception to adolescence.",250,PSYC,"Psychology of Infancy and Childhood",3.01,36.00,40.00,16.00,3.00,5.00,3.00,709
"Explores the ability to create and maintain productive learning environments in the middle and high schools. Emphasis on development of learner responsibility, promotion of positive social relationships, interdependence of effective instruction and management, and prevention/intervention strategies. Consideration given to accommodating diversity and communicating with families. Field activity required.",434,SCED,"Classroom Management",3.69,77.00,17.00,4.00,2.00,1.00,2.00,254
"Engages in full-time clinical experience with designated mentors in Professional Development School (PDS) sites, progressively assuming the lead-teacher role in the classroom while planning and co-teaching with the mentor. Direct supervision under the direction of a mentor teacher and University supervisor. One, eight-week, full-time, supervised clinical experience in a school. Clinical Practice in lower (grades 1-3) or upper elementary (grades 4-6) grade levels.",421,ELED,"Elementary Education Clinical Practice I",0.00,0.00,0.00,0.00,0.00,67.00,34.00,3
"Engages in full-time clinical experience with designated mentors in Professional Development School (PDS) sites, progressively assuming the lead-teacher role in the classroom while planning and co-teaching with the mentor. Direct supervision under the direction of a mentor teacher and University supervisor. One, eight-week, full-time, supervised clinical experience in a school. Clinical Practice in lower (grades 1-3) or upper elementary (grades 4-6) grade levels.",422,ELED,"Elementary Education Clinical Practice II",0.00,0.00,0.00,0.00,0.00,50.00,50.00,4
"Study of literature (written in English) by Latina and Latino writers, including, but not limited to, Mexican American (Chicana/o), Puerto Rican American, Cuban American and Dominican American authors.",256,ENGL,"Latina/o Literature",3.36,60.00,23.00,14.00,3.00,2.00,0.00,67
"Study of a literary figure, period, genre, movement or theme.",300,ENGL,"Studies in English Literature",3.41,53.00,32.00,8.00,2.00,2.00,7.00,746
"Focuses on the interlinked natural and social systems of the contemporary world. Particular attention is given to the qualitative social sciences and history, and to analyzing the public and political discourses surrounding environmental regimes.",302,ENVR,"Society and Environment",3.12,41.00,34.00,16.00,4.00,3.00,6.00,297
"Introduction to management and instructional strategies specific to teaching physical education in grades K-12. Content includes rationale for skill progressions, scope and sequence of physical education curriculum, and program planning.",275,PHED,"Management and Instructional Strategies in Physical Education",3.64,71.00,24.00,2.00,1.00,2.00,2.00,955
"Focuses on the contribution of psychological theories on the legal system and the increasing use of mental health professionals in this system. Topics to be covered include a variety of issues related to ways the fields of psychology and legal studies intersect, including examining theories of crime, stages of the trial process, police training, judge and jury decision making, use of expert witnesses, the insanity defense, witness reliability and crime victims.",375,PSYC,"Psychology and the Law",3.56,63.00,31.00,7.00,1.00,0.00,1.00,299
"Engages pre-service teachers in planning, teaching, assessment and collaboration in order to support and enhance student learning and well-being. Participation in activities required of fully employed teachers.",426,SCED,"Internship in Middle or High School Education",0.00,0.00,0.00,0.00,0.00,25.00,75.00,4
"Examines communities, groups and organizations as social systems and environmental contexts. Reflects social work's values and principles in the macro social environment and the integration of theories drawn from sociology, psychology, biology, anthropology and economics to understand and critically analyze the multiple influences on human behavior as affected by race, class, gender, age and sexual orientation. Develops macro-assessment skills within the framework of empowerment.",302,SOWK,"Human Behavior in the Social Environment II",3.45,62.00,26.00,8.00,2.00,3.00,2.00,957
"Introduces the skills, abilities and knowledge related to functioning in a professional business environment. Focus on developing those skills considered important by employers as well as familiarizing students with the ABLE graduation requirement. Sessions vary in duration, depending on the activities involved, which are subject to change. Writing assignments and mandatory attendance at events.",200,BUAD,"Personal and Professional Development for Business",0.00,0.00,0.00,0.00,0.00,39.00,62.00,342
"Covers the basic skills and techniques required for audio production in media. Emphasis is on the aesthetics, principles and practices in producing and designing audio programs for media.",234,COMM,"Beginning Audio Production",3.82,87.00,10.00,0.00,0.00,3.00,3.00,96
"Introduction to the equipment and techniques of television studio production. Each student produces and directs a variety of live-to-tape productions. Outside class crew hours required.",243,COMM,"Television Studio Production",3.61,67.00,30.00,2.00,0.00,2.00,2.00,71
"Introduces students to an array of study strategies and campus resources to help them be academically successful during their collegiate career. Topics include time management, note-taking, test preparation, college writing and more. Seven-week course.",103,GENL,"Advanced Learning Strategies",3.37,63.00,20.00,4.00,2.00,8.00,6.00,208
